# DSC deconvolution: T (C), smoothed signal, baseline, components (mW/mg).
T_C_1K,DSC_smoothed_1K,baseline_1K,FS_sum_1K,central_1K,shoulder_1K,T_C_3K,DSC_smoothed_3K,baseline_3K,FS_sum_3K,central_3K,shoulder_3K,T_C_5K,DSC_smoothed_5K,baseline_5K,FS_sum_5K,central_5K,shoulder_5K
332.349,-0.707776,-0.715668,-0.698503,-0.698516,-0.715655,345.214,-0.341954,-0.362521,-0.308862,-0.308864,-0.362519,351.274,0.0355875,0.00353606,0.0927766,0.0927745,0.00353813
332.374,-0.70785,-0.715729,-0.698492,-0.698504,-0.715716,345.239,-0.341738,-0.362714,-0.308809,-0.308811,-0.362712,351.301,0.0359272,0.00318937,0.092874,0.0928719,0.00319147
332.399,-0.707901,-0.71579,-0.69848,-0.698492,-0.715777,345.265,-0.341525,-0.362906,-0.308755,-0.308756,-0.362904,351.329,0.0363016,0.00284281,0.0929736,0.0929714,0.00284493
332.424,-0.70792,-0.715851,-0.698467,-0.69848,-0.715838,345.29,-0.341337,-0.363099,-0.308699,-0.308701,-0.363097,351.356,0.0366965,0.002496,0.0930754,0.0930733,0.00249815
332.449,-0.708,-0.715912,-0.698455,-0.698468,-0.715899,345.316,-0.341134,-0.363292,-0.308642,-0.308644,-0.36329,351.384,0.0370958,0.00214931,0.0931795,0.0931773,0.00215149
332.474,-0.708031,-0.715973,-0.698442,-0.698455,-0.71596,345.341,-0.340936,-0.363484,-0.308584,-0.308586,-0.363482,351.411,0.0375229,0.00180262,0.0932858,0.0932836,0.00180483
332.499,-0.708085,-0.716034,-0.698429,-0.698442,-0.716021,345.367,-0.340737,-0.363677,-0.308525,-0.308527,-0.363675,351.439,0.0379653,0.00145594,0.0933944,0.0933922,0.00145817
332.524,-0.708131,-0.716095,-0.698415,-0.698428,-0.716082,345.392,-0.340542,-0.36387,-0.308465,-0.308467,-0.363868,351.466,0.0383965,0.00110925,0.0935053,0.093503,0.00111151
332.549,-0.708214,-0.716156,-0.698401,-0.698414,-0.716143,345.418,-0.34029,-0.364062,-0.308403,-0.308405,-0.36406,351.494,0.0387933,0.000762566,0.0936185,0.0936162,0.000764852
332.574,-0.708299,-0.716217,-0.698387,-0.6984,-0.716204,345.443,-0.340019,-0.364255,-0.308341,-0.308343,-0.364253,351.521,0.0391817,0.000415879,0.0937339,0.0937316,0.000418193
332.599,-0.708371,-0.716278,-0.698372,-0.698386,-0.716265,345.469,-0.339747,-0.364448,-0.308277,-0.308279,-0.364446,351.549,0.0395703,6.9319e-05,0.0938517,0.0938493,7.16618e-05
