# Forward reconstruction (consistency check), model F1: E=337 kJ/mol, lnA=43.7. T (C), alpha experimental and modelled for each beta.
T_C_1K,alpha_exp_1K,alpha_model_1K,T_C_3K,alpha_exp_3K,alpha_model_3K,T_C_5K,alpha_exp_5K,alpha_model_5K
511.708,0.0521885,0.0733222,525.068,0.044607,0.0661864,529.017,0.0435399,0.049015
511.747,0.0525893,0.0740896,525.113,0.0448984,0.0668926,529.06,0.0438301,0.0495384
511.786,0.0529918,0.0748581,525.158,0.0451913,0.0676004,529.102,0.044122,0.050063
511.825,0.0533965,0.0756285,525.203,0.0454855,0.0683092,529.145,0.0444153,0.0505884
511.864,0.0538035,0.0763999,525.248,0.0457814,0.0690201,529.187,0.0447103,0.051115
511.903,0.0542131,0.0771724,525.293,0.0460787,0.0697319,529.23,0.0450069,0.0516429
511.942,0.0546258,0.0779468,525.338,0.0463775,0.0704453,529.272,0.045305,0.0521716
511.981,0.0550411,0.078722,525.383,0.0466781,0.0711605,529.315,0.0456047,0.0527014
512.02,0.0554591,0.0794983,525.428,0.0469801,0.0718773,529.357,0.0459061,0.0532325
512.059,0.0558795,0.0802757,525.473,0.0472838,0.0725958,529.4,0.0462091,0.0537647
512.098,0.0563022,0.0810545,525.518,0.0475888,0.0733154,529.442,0.0465137,0.0542981
512.137,0.0567275,0.0818346,525.563,0.0478953,0.0740364,529.485,0.0468198,0.0548325
512.176,0.0571554,0.0826161,525.608,0.0482033,0.0747591,529.527,0.0471277,0.0553684
512.215,0.0575856,0.0833987,525.653,0.0485129,0.0754833,529.57,0.0474371,0.0559052
512.254,0.0580186,0.0841828,525.698,0.0488238,0.0762091,529.612,0.0477482,0.0564431
512.293,0.0584545,0.0849688,525.743,0.049136,0.0769361,529.655,0.0480611,0.0569824
512.332,0.0588933,0.0857558,525.788,0.0494493,0.0776645,529.697,0.0483757,0.0575228
512.371,0.0593349,0.0865439,525.833,0.0497638,0.0783942,529.74,0.0486919,0.0580642
512.41,0.0597787,0.087333,525.878,0.0500795,0.0791254,529.782,0.0490095,0.0586065
512.449,0.0602247,0.0881232,525.923,0.0503964,0.0798581,529.825,0.0493287,0.0591499
512.488,0.060673,0.0889147,525.968,0.0507144,0.080592,529.867,0.0496493,0.0596943
512.527,0.0611235,0.0897074,526.013,0.0510336,0.0813274,529.91,0.0499714,0.0602398
512.565,0.061576,0.0905018,526.058,0.0513541,0.0820641,529.952,0.0502951,0.0607866
512.604,0.0620306,0.0912977,526.103,0.0516758,0.0828024,529.995,0.0506202,0.0613346
512.643,0.0624877,0.092095,526.148,0.0519985,0.0835415,530.037,0.0509469,0.0618837
512.682,0.0629473,0.0928938,526.193,0.0523226,0.0842826,530.08,0.0512747,0.0624334
512.721,0.0634093,0.093694,526.238,0.052648,0.0850252,530.122,0.0516041,0.0629845
512.76,0.0638737,0.0944959,526.283,0.0529745,0.0857696,530.165,0.0519349,0.0635367
512.799,0.0643406,0.0952991,526.328,0.0533023,0.0865152,530.207,0.052267,0.0640898
512.838,0.0648096,0.0961035,526.373,0.0536314,0.0872624,530.25,0.0526006,0.0646441
512.877,0.0652808,0.0969093,526.418,0.0539615,0.0880108,530.292,0.0529356,0.0651994
512.916,0.0657542,0.0977159,526.463,0.0542929,0.0887606,530.335,0.0532718,0.0657559
512.955,0.0662303,0.0985245,526.508,0.0546255,0.0895119,530.377,0.0536093,0.0663133
512.994,0.0667088,0.0993345,526.553,0.0549596,0.0902648,530.42,0.0539484,0.0668722
513.033,0.0671898,0.100146,526.597,0.0552951,0.0910196,530.462,0.0542888,0.0674321
513.072,0.0676731,0.100958,526.642,0.0556317,0.0917755,530.504,0.0546308,0.0679933
513.111,0.0681583,0.101772,526.687,0.0559695,0.0925328,530.547,0.054974,0.0685556
513.15,0.0686459,0.102587,526.732,0.0563085,0.0932917,530.589,0.0553187,0.0691191
513.189,0.0691365,0.103405,526.777,0.0566486,0.094052,530.632,0.0556649,0.0696841
513.228,0.0696301,0.104224,526.822,0.05699,0.0948141,530.674,0.0560125,0.0702501
513.267,0.0701262,0.105044,526.867,0.0573326,0.0955779,530.717,0.0563616,0.0708174
513.306,0.0706245,0.105865,526.912,0.0576768,0.0963435,530.759,0.056712,0.0713858
513.345,0.0711255,0.106688,526.957,0.0580224,0.0971108,530.802,0.057064,0.0719554
513.384,0.071629,0.107512,527.002,0.0583694,0.0978798,530.844,0.0574174,0.0725262
513.423,0.0721357,0.108338,527.047,0.0587177,0.0986506,530.887,0.0577724,0.0730983
513.462,0.0726453,0.109164,527.092,0.0590672,0.0994223,530.929,0.0581289,0.0736716
513.501,0.0731576,0.109993,527.137,0.0594183,0.100196,530.972,0.0584869,0.0742459
513.54,0.0736723,0.110822,527.182,0.0597707,0.100971,531.014,0.0588467,0.074822
513.579,0.0741898,0.111654,527.227,0.0601246,0.101748,531.057,0.0592081,0.075399
513.618,0.0747101,0.112486,527.272,0.06048,0.102526,531.099,0.0595708,0.0759772
513.657,0.0752339,0.11332,527.317,0.0608369,0.103306,531.142,0.0599353,0.0765566
513.696,0.0757607,0.114156,527.362,0.0611953,0.104088,531.184,0.0603016,0.0771376
