# Conversion and rate: T (C), alpha (-), dalpha/dt (1/s) for each beta.
T_C_1K,alpha_1K,rate_dadt_1/s_1K,T_C_3K,alpha_3K,rate_dadt_1/s_3K,T_C_5K,alpha_5K,rate_dadt_1/s_5K
505.038,0.00863057,6.02903e-05,513.818,0.00369133,7.15927e-05,517.502,0.00300768,9.77556e-05
505.077,0.00877203,6.06827e-05,513.863,0.00375607,7.22851e-05,517.544,0.00305781,9.88456e-05
505.116,0.00891457,6.12092e-05,513.908,0.0038214,7.28959e-05,517.587,0.00310848,9.99818e-05
505.155,0.0090581,6.15298e-05,513.953,0.00388727,7.34819e-05,517.629,0.00315973,0.000101118
505.194,0.00920276,6.2174e-05,513.998,0.00395363,7.401e-05,517.672,0.00321155,0.000102251
505.233,0.00934898,6.28307e-05,514.043,0.0040204,7.44573e-05,517.714,0.003264,0.000103433
505.272,0.00949658,6.33577e-05,514.088,0.00408756,7.48222e-05,517.757,0.00331705,0.000104652
505.311,0.00964539,6.38585e-05,514.133,0.00415507,7.52429e-05,517.799,0.0033707,0.000105835
505.35,0.00979528,6.4319e-05,514.178,0.00422303,7.57328e-05,517.842,0.00342498,0.000107027
505.389,0.00994645,6.48918e-05,514.223,0.00429144,7.62972e-05,517.884,0.00347984,0.000108231
505.428,0.0100989,6.54717e-05,514.268,0.00436036,7.69189e-05,517.927,0.00353534,0.000109507
505.467,0.0102528,6.60916e-05,514.313,0.00442981,7.74673e-05,517.969,0.00359153,0.000110791
505.506,0.0104078,6.65244e-05,514.358,0.00449978,7.80412e-05,518.012,0.00364834,0.000112061
505.545,0.0105636,6.66966e-05,514.403,0.00457025,7.85912e-05,518.054,0.0037058,0.000113307
505.584,0.0107199,6.70044e-05,514.448,0.00464124,7.92756e-05,518.097,0.00376387,0.000114418
505.623,0.010877,6.72216e-05,514.493,0.00471288,8.00225e-05,518.139,0.0038225,0.000115508
505.662,0.0110347,6.75609e-05,514.538,0.00478518,8.06879e-05,518.182,0.00388174,0.000116637
505.701,0.0111933,6.79605e-05,514.583,0.0048581,8.13493e-05,518.224,0.00394153,0.000117785
505.74,0.0113526,6.81988e-05,514.628,0.00493157,8.2003e-05,518.267,0.00400193,0.000118926
505.779,0.0115125,6.83423e-05,514.673,0.00500569,8.27111e-05,518.309,0.00406292,0.000120052
