# Conversion and rate: T (C), alpha (-), dalpha/dt (1/s) for each beta.
T_C_1K,alpha_1K,rate_dadt_1/s_1K,T_C_3K,alpha_3K,rate_dadt_1/s_3K,T_C_5K,alpha_5K,rate_dadt_1/s_5K
310.166,0.000394647,2.00207e-06,322.75,0.000410601,6.61068e-06,328.651,0.000379342,1.02469e-05
310.2,0.000398733,2.01214e-06,322.782,0.000414855,6.644e-06,328.683,0.000383268,1.02984e-05
310.234,0.000402841,2.02227e-06,322.815,0.00041913,6.67749e-06,328.715,0.000387214,1.03501e-05
310.268,0.000406968,2.03244e-06,322.847,0.000423428,6.71117e-06,328.747,0.000391179,1.04021e-05
310.301,0.000411117,2.04268e-06,322.879,0.000427747,6.74502e-06,328.778,0.000395164,1.04544e-05
310.335,0.000415286,2.05296e-06,322.911,0.000432087,6.77905e-06,328.81,0.00039917,1.05069e-05
310.369,0.000419477,2.0633e-06,322.943,0.00043645,6.81326e-06,328.842,0.000403195,1.05597e-05
310.403,0.000423688,2.0737e-06,322.975,0.000440834,6.84765e-06,328.874,0.000407241,1.06128e-05
310.437,0.000427921,2.08415e-06,323.007,0.000445241,6.88222e-06,328.906,0.000411307,1.06662e-05
310.471,0.000432175,2.09465e-06,323.039,0.00044967,6.91698e-06,328.938,0.000415393,1.07199e-05
310.505,0.000436451,2.10521e-06,323.071,0.000454121,6.95192e-06,328.969,0.0004195,1.07738e-05
310.539,0.000440748,2.11583e-06,323.103,0.000458595,6.98704e-06,329.001,0.000423628,1.0828e-05
310.573,0.000445067,2.1265e-06,323.136,0.000463091,7.02235e-06,329.033,0.000427776,1.08825e-05
310.607,0.000449407,2.13723e-06,323.168,0.000467611,7.05785e-06,329.065,0.000431946,1.09373e-05
310.641,0.00045377,2.14801e-06,323.2,0.000472153,7.09354e-06,329.097,0.000436136,1.09924e-05
310.675,0.000458154,2.15886e-06,323.232,0.000476717,7.12941e-06,329.129,0.000440348,1.10478e-05
310.709,0.000462561,2.16976e-06,323.264,0.000481306,7.16548e-06,329.161,0.00044458,1.11035e-05
