# Criado master-plot: y(alpha) of 15 theoretical models (common grid) and experiment by beta. Selected model: R3.
alpha_theory,y_F1,y_F2,y_F3,y_D1,y_D2,y_D3,y_D4,y_R2,y_R3,y_P2,y_P3,y_P4,y_A2,y_A3,y_A4,alpha_exp_1K,y_exp_1K,alpha_exp_3K,y_exp_3K,alpha_exp_5K,y_exp_5K
0.32,0.756695,0.8704,0.974848,0.64,0.676498,0.717791,0.690765,0.698293,0.717791,0.64,0.64,0.64,0.756695,0.756695,0.756695,,,,,,
0.325,0.765505,0.8775,0.979875,0.65,0.686172,0.727061,0.700311,0.707769,0.727061,0.65,0.65,0.65,0.765505,0.765505,0.765505,,,,,,
0.33,0.774208,0.8844,0.984632,0.66,0.695812,0.736258,0.709809,0.717192,0.736258,0.66,0.66,0.66,0.774208,0.774208,0.774208,,,,,,
0.335,0.782803,0.8911,0.989121,0.67,0.705417,0.745383,0.71926,0.726559,0.745383,0.67,0.67,0.67,0.782803,0.782803,0.782803,,,,,,
0.34,0.79129,0.8976,0.993344,0.68,0.714988,0.754434,0.728661,0.735871,0.754434,0.68,0.68,0.68,0.79129,0.79129,0.79129,,,,,,
0.345,0.799667,0.9039,0.997303,0.69,0.724523,0.763411,0.738014,0.745126,0.763411,0.69,0.69,0.69,0.799667,0.799667,0.799667,,,,,,
0.35,0.807935,0.91,1.001,0.7,0.734023,0.772313,0.747317,0.754325,0.772313,0.7,0.7,0.7,0.807935,0.807935,0.807935,,,,,,
0.355,0.816091,0.9159,1.00444,0.71,0.743487,0.781139,0.75657,0.763466,0.781139,0.71,0.71,0.71,0.816091,0.816091,0.816091,,,,,,
0.36,0.824136,0.9216,1.00762,0.72,0.752914,0.789888,0.765773,0.772548,0.789888,0.72,0.72,0.72,0.824136,0.824136,0.824136,,,,,,
0.365,0.832068,0.9271,1.01054,0.73,0.762304,0.798559,0.774924,0.781572,0.798559,0.73,0.73,0.73,0.832068,0.832068,0.832068,,,,,,
0.37,0.839886,0.9324,1.01321,0.74,0.771657,0.807152,0.784023,0.790536,0.807152,0.74,0.74,0.74,0.839886,0.839886,0.839886,,,,,,
0.375,0.84759,0.9375,1.01563,0.75,0.780972,0.815666,0.793069,0.79944,0.815666,0.75,0.75,0.75,0.84759,0.84759,0.84759,,,,,,
0.38,0.855178,0.9424,1.01779,0.76,0.790248,0.8241,0.802062,0.808283,0.8241,0.76,0.76,0.76,0.855178,0.855178,0.855178,,,,,,
0.385,0.86265,0.9471,1.01971,0.77,0.799486,0.832454,0.811001,0.817063,0.832454,0.77,0.77,0.77,0.86265,0.86265,0.86265,,,,,,
0.39,0.870005,0.9516,1.02138,0.78,0.808685,0.840725,0.819886,0.825782,0.840725,0.78,0.78,0.78,0.870005,0.870005,0.870005,,,,,,
0.395,0.877241,0.9559,1.02281,0.79,0.817844,0.848914,0.828715,0.834437,0.848914,0.79,0.79,0.79,0.877241,0.877241,0.877241,,,,,,
0.4,0.884359,0.96,1.024,0.8,0.826962,0.857019,0.837489,0.843027,0.857019,0.8,0.8,0.8,0.884359,0.884359,0.884359,,,,,,
