# Forward reconstruction (consistency check), model R3: E=344 kJ/mol, lnA=58.6. T (C), alpha experimental and modelled for each beta.
T_C_1K,alpha_exp_1K,alpha_model_1K,T_C_3K,alpha_exp_3K,alpha_model_3K,T_C_5K,alpha_exp_5K,alpha_model_5K
333.92,0.0320883,0.0295508,344.961,0.0320716,0.031903,351.199,0.0321045,0.0371681
333.953,0.0322713,0.0299629,344.993,0.0322545,0.0323416,351.23,0.0322874,0.0376762
333.987,0.0324552,0.0303765,345.025,0.0324385,0.0327817,351.262,0.0324714,0.0381858
334.021,0.0326403,0.0307915,345.057,0.0326235,0.0332231,351.294,0.0326564,0.038697
334.055,0.0328264,0.031208,345.089,0.0328096,0.0336659,351.326,0.0328425,0.0392097
334.089,0.0330136,0.031626,345.121,0.0329968,0.0341101,351.358,0.0330297,0.039724
334.123,0.0332018,0.0320454,345.153,0.0331851,0.0345558,351.39,0.0332179,0.0402399
334.157,0.0333912,0.0324663,345.185,0.0333744,0.0350028,351.422,0.0334073,0.0407573
334.191,0.0335816,0.0328887,345.217,0.0335649,0.0354513,351.453,0.0335977,0.0412763
334.225,0.0337732,0.0333126,345.249,0.0337564,0.0359012,351.485,0.0337893,0.0417968
334.259,0.0339658,0.033738,345.282,0.0339491,0.0363525,351.517,0.0339819,0.042319
334.293,0.0341596,0.0341649,345.314,0.0341428,0.0368052,351.549,0.0341757,0.0428427
334.327,0.0343544,0.0345933,345.346,0.0343377,0.0372594,351.581,0.0343705,0.0433679
334.361,0.0345504,0.0350231,345.378,0.0345337,0.037715,351.613,0.0345665,0.0438948
334.395,0.0347476,0.0354545,345.41,0.0347308,0.0381721,351.644,0.0347637,0.0444233
334.429,0.0349458,0.0358875,345.442,0.0349291,0.0386306,351.676,0.0349619,0.0449533
334.462,0.0351453,0.0363219,345.474,0.0351285,0.0390905,351.708,0.0351613,0.0454849
334.496,0.0353458,0.0367579,345.506,0.0353291,0.0395519,351.74,0.0353619,0.0460182
334.53,0.0355475,0.0371953,345.538,0.0355308,0.0400148,351.772,0.0355636,0.046553
334.564,0.0357504,0.0376344,345.57,0.0357337,0.0404791,351.804,0.0357665,0.0470895
334.598,0.0359545,0.0380749,345.602,0.0359378,0.0409449,351.836,0.0359706,0.0476276
334.632,0.0361597,0.0385171,345.635,0.036143,0.0414121,351.867,0.0361758,0.0481672
334.666,0.0363662,0.0389607,345.667,0.0363495,0.0418809,351.899,0.0363822,0.0487085
334.7,0.0365738,0.0394059,345.699,0.0365571,0.0423511,351.931,0.0365898,0.0492515
334.734,0.0367826,0.0398527,345.731,0.0367659,0.0428228,351.963,0.0367986,0.049796
334.768,0.0369926,0.040301,345.763,0.0369759,0.0432959,351.995,0.0370087,0.0503422
334.802,0.0372038,0.0407509,345.795,0.0371872,0.0437706,352.027,0.0372199,0.05089
334.836,0.0374163,0.0412024,345.827,0.0373996,0.0442467,352.058,0.0374323,0.0514395
334.87,0.03763,0.0416554,345.859,0.0376133,0.0447244,352.09,0.037646,0.0519906
334.904,0.0378449,0.0421101,345.891,0.0378282,0.0452035,352.122,0.0378609,0.0525434
334.938,0.038061,0.0425663,345.923,0.0380444,0.0456841,352.154,0.0380771,0.0530978
334.971,0.0382784,0.0430241,345.956,0.0382618,0.0461663,352.186,0.0382945,0.0536538
335.005,0.0384971,0.0434835,345.988,0.0384804,0.04665,352.218,0.0385131,0.0542116
335.039,0.038717,0.0439445,346.02,0.0387004,0.0471351,352.25,0.038733,0.0547709
335.073,0.0389382,0.0444071,346.052,0.0389216,0.0476218,352.281,0.0389542,0.055332
335.107,0.0391607,0.0448714,346.084,0.039144,0.0481101,352.313,0.0391767,0.0558947
335.141,0.0393844,0.0453372,346.116,0.0393678,0.0485998,352.345,0.0394004,0.0564591
335.175,0.0396095,0.0458047,346.148,0.0395928,0.0490911,352.377,0.0396255,0.0570252
335.209,0.0398358,0.0462737,346.18,0.0398192,0.0495839,352.409,0.0398518,0.057593
335.243,0.0400635,0.0467444,346.212,0.0400468,0.0500783,352.441,0.0400795,0.0581624
335.277,0.0402924,0.0472168,346.244,0.0402758,0.0505742,352.473,0.0403084,0.0587336
335.311,0.0405227,0.0476908,346.277,0.0405061,0.0510716,352.504,0.0405387,0.0593064
335.345,0.0407543,0.0481664,346.309,0.0407377,0.0515706,352.536,0.0407703,0.0598809
335.379,0.0409873,0.0486437,346.341,0.0409707,0.0520711,352.568,0.0410033,0.0604572
335.413,0.0412216,0.0491226,346.373,0.041205,0.0525733,352.6,0.0412376,0.0610351
335.447,0.0414572,0.0496032,346.405,0.0414406,0.0530769,352.632,0.0414732,0.0616148
335.481,0.0416942,0.0500855,346.437,0.0416776,0.0535822,352.664,0.0417102,0.0621962
335.514,0.0419326,0.0505694,346.469,0.041916,0.054089,352.695,0.0419486,0.0627793
335.548,0.0421724,0.051055,346.501,0.0421558,0.0545974,352.727,0.0421883,0.0633641
335.582,0.0424135,0.0515423,346.533,0.0423969,0.0551074,352.759,0.0424295,0.0639506
335.616,0.042656,0.0520313,346.565,0.0426394,0.0556189,352.791,0.042672,0.0645389
335.65,0.0429,0.0525219,346.597,0.0428834,0.056132,352.823,0.0429159,0.0651289
335.684,0.0431453,0.0530142,346.63,0.0431287,0.0566468,352.855,0.0431613,0.0657207
335.718,0.0433921,0.0535083,346.662,0.0433755,0.0571631,352.887,0.043408,0.0663142
335.752,0.0436402,0.054004,346.694,0.0436237,0.057681,352.918,0.0436562,0.0669094
335.786,0.0438899,0.0545015,346.726,0.0438733,0.0582006,352.95,0.0439058,0.0675064
335.82,0.0441409,0.0550007,346.758,0.0441243,0.0587217,352.982,0.0441568,0.0681052
335.854,0.0443934,0.0555015,346.79,0.0443769,0.0592445,353.014,0.0444093,0.0687057
335.888,0.0446474,0.0560042,346.822,0.0446308,0.0597688,353.046,0.0446633,0.0693079
335.922,0.0449028,0.0565085,346.854,0.0448862,0.0602948,353.078,0.0449187,0.069912
335.956,0.0451597,0.0570146,346.886,0.0451432,0.0608224,353.109,0.0451756,0.0705178
335.99,0.0454181,0.0575224,346.918,0.0454015,0.0613517,353.141,0.045434,0.0711254
336.023,0.045678,0.0580319,346.951,0.0456614,0.0618826,353.173,0.0456939,0.0717348
336.057,0.0459393,0.0585432,346.983,0.0459228,0.0624151,353.205,0.0459552,0.0723459
336.091,0.0462022,0.0590563,347.015,0.0461857,0.0629492,353.237,0.0462181,0.0729589
336.125,0.0464666,0.0595711,347.047,0.0464501,0.063485,353.269,0.0464825,0.0735736
336.159,0.0467325,0.0600877,347.079,0.046716,0.0640225,353.301,0.0467484,0.0741901
336.193,0.047,0.060606,347.111,0.0469835,0.0645616,353.332,0.0470159,0.0748085
336.227,0.047269,0.0611261,347.143,0.0472525,0.0651023,353.364,0.0472849,0.0754286
336.261,0.0475395,0.061648,347.175,0.047523,0.0656448,353.396,0.0475554,0.0760506
336.295,0.0478116,0.0621717,347.207,0.0477951,0.0661888,353.428,0.0478275,0.0766743
336.329,0.0480853,0.0626972,347.239,0.0480688,0.0667346,353.46,0.0481012,0.0772999
336.363,0.0483606,0.0632245,347.271,0.0483441,0.067282,353.492,0.0483764,0.0779273
336.397,0.0486374,0.0637535,347.304,0.048621,0.0678311,353.523,0.0486533,0.0785565
336.431,0.0489159,0.0642844,347.336,0.0488994,0.0683819,353.555,0.0489317,0.0791876
336.465,0.0491959,0.0648171,347.368,0.0491795,0.0689344,353.587,0.0492118,0.0798204
336.499,0.0494776,0.0653516,347.4,0.0494611,0.0694886,353.619,0.0494934,0.0804552
336.532,0.0497609,0.0658879,347.432,0.0497444,0.0700444,353.651,0.0497767,0.0810917
336.566,0.0500458,0.066426,347.464,0.0500293,0.070602,353.683,0.0500616,0.0817301
336.6,0.0503324,0.066966,347.496,0.0503159,0.0711613,353.715,0.0503482,0.0823704
336.634,0.0506206,0.0675078,347.528,0.0506041,0.0717222,353.746,0.0506364,0.0830125
336.668,0.0509105,0.0680514,347.56,0.050894,0.0722849,353.778,0.0509263,0.0836565
336.702,0.051202,0.0685969,347.592,0.0511856,0.0728493,353.81,0.0512178,0.0843023
336.736,0.0514952,0.0691443,347.625,0.0514788,0.0734155,353.842,0.051511,0.08495
336.77,0.0517902,0.0696934,347.657,0.0517737,0.0739833,353.874,0.051806,0.0855995
336.804,0.0520868,0.0702445,347.689,0.0520703,0.0745529,353.906,0.0521026,0.086251
336.838,0.0523851,0.0707974,347.721,0.0523687,0.0751242,353.937,0.0524009,0.0869043
336.872,0.0526851,0.0713522,347.753,0.0526687,0.0756972,353.969,0.0527009,0.0875595
336.906,0.0529869,0.0719089,347.785,0.0529705,0.076272,354.001,0.0530027,0.0882166
336.94,0.0532904,0.0724674,347.817,0.053274,0.0768485,354.033,0.0533062,0.0888755
336.974,0.0535957,0.0730279,347.849,0.0535793,0.0774268,354.065,0.0536115,0.0895364
337.008,0.0539027,0.0735902,347.881,0.0538863,0.0780068,354.097,0.0539185,0.0901992
337.041,0.0542115,0.0741545,347.913,0.0541951,0.0785886,354.129,0.0542273,0.0908638
337.075,0.0545221,0.0747206,347.945,0.0545057,0.0791722,354.16,0.0545378,0.0915304
337.109,0.0548344,0.0752886,347.978,0.054818,0.0797575,354.192,0.0548502,0.0921989
337.143,0.0551486,0.0758586,348.01,0.0551322,0.0803446,354.224,0.0551643,0.0928693
337.177,0.0554645,0.0764305,348.042,0.0554482,0.0809335,354.256,0.0554803,0.0935416
