# Conversion and rate: T (C), alpha (-), dalpha/dt (1/s) for each beta.
T_C_1K,alpha_1K,rate_dadt_1/s_1K,T_C_3K,alpha_3K,rate_dadt_1/s_3K,T_C_5K,alpha_5K,rate_dadt_1/s_5K
285.262,2.6398e-06,8.25673e-07,282.387,1.00853e-07,0,286.325,0,0
285.263,2.71189e-06,8.66473e-07,282.389,1.00853e-07,0,286.327,0,0
285.265,2.78737e-06,9.05448e-07,282.391,1.00853e-07,0,286.329,0,0
285.266,2.86607e-06,9.41949e-07,282.393,1.00853e-07,0,286.33,0,0
285.268,2.94777e-06,9.75858e-07,282.395,1.00853e-07,0,286.332,0,0
285.269,3.03282e-06,1.00668e-06,282.397,1.00853e-07,0,286.334,0,0
285.27,3.11989e-06,1.03732e-06,282.399,1.00853e-07,0,286.336,0,0
285.272,3.20967e-06,1.07004e-06,282.401,1.00853e-07,0,286.337,0,0
285.273,3.3022e-06,1.10204e-06,282.403,1.00853e-07,0,286.339,0,0
285.275,3.39744e-06,1.13379e-06,282.405,1.00853e-07,0,286.341,0,0
285.276,3.49538e-06,1.16521e-06,282.408,1.00853e-07,0,286.343,0,0
285.278,3.59605e-06,1.19782e-06,282.41,1.00853e-07,0,286.344,0,0
285.279,3.6996e-06,1.23304e-06,282.412,1.00853e-07,0,286.346,0,0
285.28,3.80609e-06,1.26681e-06,282.414,1.00853e-07,0,286.348,0,0
285.282,3.91533e-06,1.29751e-06,282.416,1.00853e-07,0,286.35,0,0
285.283,4.02797e-06,1.3281e-06,282.418,1.00853e-07,0,286.351,0,0
285.285,4.14241e-06,1.35817e-06,282.42,1.00853e-07,0,286.353,0,0
285.286,4.25938e-06,1.38762e-06,282.422,1.00853e-07,0,286.355,0,0
285.287,4.3789e-06,1.41798e-06,282.424,1.00853e-07,0,286.357,0,0
285.289,4.5011e-06,1.45059e-06,282.426,1.00853e-07,0,286.358,0,0
285.29,4.62616e-06,1.4851e-06,282.428,1.00853e-07,0,286.36,0,0
285.292,4.75416e-06,1.51958e-06,282.431,1.00853e-07,0,286.362,0,0
