# DSC deconvolution: T (C), smoothed signal, baseline, components (mW/mg).
T_C_1K,DSC_smoothed_1K,baseline_1K,peak_minus_baseline_1K,FS_fit_1K,T_C_3K,DSC_smoothed_3K,baseline_3K,peak_minus_baseline_3K,FS_fit_3K,T_C_5K,DSC_smoothed_5K,baseline_5K,peak_minus_baseline_5K,FS_fit_5K
501.803,-1.33378,-1.33883,0.00505145,-1.33443,510.083,-0.61872,-0.623847,0.00512643,-0.623603,513.976,-0.569548,-0.576483,0.00693511,-0.574133
501.842,-1.33385,-1.3391,0.00525602,-1.33465,510.129,-0.618843,-0.623998,0.00515512,-0.62375,514.019,-0.569495,-0.576582,0.00708717,-0.574202
501.881,-1.33393,-1.33937,0.00543569,-1.33486,510.174,-0.61899,-0.624149,0.00515936,-0.623897,514.061,-0.569437,-0.57668,0.00724308,-0.574271
501.92,-1.33404,-1.33963,0.00559462,-1.33508,510.219,-0.619118,-0.6243,0.00518291,-0.624043,514.104,-0.569355,-0.576779,0.00742358,-0.574339
501.959,-1.33415,-1.3399,0.00574686,-1.3353,510.264,-0.619233,-0.624452,0.00521906,-0.62419,514.146,-0.569261,-0.576877,0.00761594,-0.574407
501.998,-1.33418,-1.34017,0.00598945,-1.33551,510.309,-0.619324,-0.624603,0.00527868,-0.624336,514.189,-0.569225,-0.576976,0.00775107,-0.574475
502.036,-1.33427,-1.34043,0.00616523,-1.33572,510.354,-0.619406,-0.624754,0.0053483,-0.624483,514.231,-0.569218,-0.577074,0.00785622,-0.574542
502.075,-1.3343,-1.3407,0.00640087,-1.33594,510.399,-0.619503,-0.624905,0.0054024,-0.624629,514.273,-0.569174,-0.577172,0.00799869,-0.574609
502.114,-1.33435,-1.34097,0.00661929,-1.33615,510.444,-0.619597,-0.625056,0.00545933,-0.624775,514.316,-0.569098,-0.577271,0.00817256,-0.574675
502.153,-1.33444,-1.34123,0.00679139,-1.33636,510.489,-0.619677,-0.625207,0.00552989,-0.624921,514.358,-0.569007,-0.57737,0.00836301,-0.574742
502.192,-1.33456,-1.3415,0.00694423,-1.33658,510.534,-0.619756,-0.625358,0.00560278,-0.625067,514.401,-0.568922,-0.577468,0.00854592,-0.574808
502.231,-1.33466,-1.34177,0.00711111,-1.33679,510.579,-0.619798,-0.625509,0.00571159,-0.625213,514.443,-0.568869,-0.577567,0.00869758,-0.574873
502.27,-1.33477,-1.34203,0.00726528,-1.337,510.624,-0.619841,-0.625661,0.00581988,-0.625358,514.486,-0.568798,-0.577665,0.00886714,-0.574938
502.309,-1.33488,-1.3423,0.00742335,-1.33721,510.668,-0.619891,-0.625812,0.00592101,-0.625504,514.528,-0.568728,-0.577764,0.00903591,-0.575003
502.348,-1.33498,-1.34257,0.00758507,-1.33742,510.713,-0.619927,-0.625963,0.00603583,-0.625649,514.571,-0.568643,-0.577862,0.00921916,-0.575067
502.387,-1.33515,-1.34283,0.00768944,-1.33763,510.758,-0.619956,-0.626113,0.00615773,-0.625795,514.613,-0.568566,-0.577961,0.00939495,-0.575131
502.426,-1.33527,-1.3431,0.00783252,-1.33784,510.803,-0.61997,-0.626264,0.0062945,-0.62594,514.656,-0.568491,-0.578059,0.00956834,-0.575195
502.465,-1.33538,-1.34337,0.00798937,-1.33805,510.848,-0.619985,-0.626415,0.00643046,-0.626085,514.698,-0.568415,-0.578158,0.00974264,-0.575258
502.504,-1.33555,-1.34363,0.00808813,-1.33826,510.893,-0.620012,-0.626566,0.00655402,-0.62623,514.741,-0.568362,-0.578256,0.00989423,-0.575321
502.543,-1.33566,-1.3439,0.00823911,-1.33846,510.938,-0.620046,-0.626717,0.006671,-0.626375,514.783,-0.568348,-0.578355,0.0100069,-0.575383
502.582,-1.33578,-1.34417,0.00838601,-1.33867,510.983,-0.620058,-0.626868,0.0068102,-0.62652,514.826,-0.568342,-0.578453,0.0101117,-0.575445
502.621,-1.33592,-1.34443,0.00851073,-1.33888,511.028,-0.620071,-0.627019,0.00694846,-0.626665,514.868,-0.568343,-0.578552,0.0102087,-0.575507
502.66,-1.33604,-1.3447,0.00866317,-1.33908,511.073,-0.620094,-0.62717,0.00707583,-0.626809,514.911,-0.568331,-0.578651,0.0103199,-0.575568
502.699,-1.33617,-1.34497,0.00879878,-1.33929,511.118,-0.620086,-0.627321,0.00723534,-0.626954,514.953,-0.5683,-0.578749,0.0104492,-0.575629
502.738,-1.33631,-1.34523,0.00892062,-1.33949,511.163,-0.620104,-0.627472,0.00736837,-0.627098,514.996,-0.568253,-0.578848,0.010595,-0.575689
502.777,-1.33643,-1.3455,0.00907065,-1.3397,511.208,-0.620101,-0.627623,0.00752214,-0.627243,515.038,-0.568172,-0.578946,0.010774,-0.575749
502.816,-1.33655,-1.34577,0.00921859,-1.3399,511.253,-0.620085,-0.627774,0.00768958,-0.627387,515.081,-0.568085,-0.579045,0.0109603,-0.575809
502.855,-1.33668,-1.34603,0.0093556,-1.3401,511.298,-0.620082,-0.627926,0.00784389,-0.627532,515.123,-0.568003,-0.579143,0.0111406,-0.575868
502.894,-1.33681,-1.3463,0.00949284,-1.34031,511.343,-0.620097,-0.628077,0.00797988,-0.627676,515.166,-0.567911,-0.579242,0.0113309,-0.575927
502.933,-1.33695,-1.34657,0.00962027,-1.34051,511.388,-0.62013,-0.628228,0.00809775,-0.62782,515.208,-0.567809,-0.579341,0.0115311,-0.575985
502.972,-1.3371,-1.34683,0.00973329,-1.34071,511.433,-0.620173,-0.628379,0.00820567,-0.627964,515.251,-0.567722,-0.579439,0.0117175,-0.576043
503.011,-1.33729,-1.3471,0.00980732,-1.34091,511.478,-0.620201,-0.62853,0.00832851,-0.628107,515.293,-0.567631,-0.579538,0.0119065,-0.5761
503.05,-1.33749,-1.34737,0.00987721,-1.34111,511.523,-0.620222,-0.628681,0.00845928,-0.628251,515.336,-0.567521,-0.579636,0.0121153,-0.576157
