# Forward reconstruction (consistency check), model R3: E=481 kJ/mol, lnA=94.7. T (C), alpha experimental and modelled for each beta.
T_C_1K,alpha_exp_1K,alpha_model_1K,T_C_3K,alpha_exp_3K,alpha_model_3K,T_C_5K,alpha_exp_5K,alpha_model_5K
290.384,0.0216514,0.00796132,298.457,0.0225264,0.0165454,297.714,0.0217758,0.00735047
290.385,0.0216708,0.00805265,298.459,0.0225565,0.0167352,297.716,0.0217966,0.00743504
290.387,0.02169,0.00814336,298.461,0.0225867,0.0169259,297.717,0.0218173,0.00751916
290.388,0.0217094,0.00823473,298.463,0.022617,0.0171166,297.719,0.0218381,0.00760377
290.39,0.0217288,0.00832612,298.465,0.0226472,0.0173065,297.721,0.021859,0.0076884
290.391,0.0217484,0.00841817,298.467,0.0226776,0.0174973,297.723,0.0218797,0.00777258
290.392,0.0217677,0.00850895,298.469,0.022708,0.0176882,297.724,0.0219006,0.00785726
290.394,0.0217871,0.00860039,298.471,0.0227383,0.0178782,297.726,0.0219215,0.00794196
290.395,0.0218066,0.00869185,298.473,0.0227686,0.0180683,297.728,0.0219423,0.0080262
290.397,0.0218261,0.00878332,298.475,0.0227991,0.0182593,297.73,0.0219632,0.00811094
290.398,0.0218457,0.00887482,298.478,0.0228295,0.0184495,297.731,0.0219842,0.0081957
290.4,0.0218652,0.00896633,298.48,0.0228601,0.0186406,297.733,0.022005,0.00828001
290.401,0.0218848,0.00905786,298.482,0.0228907,0.0188317,297.735,0.022026,0.00836481
290.402,0.0219044,0.00914941,298.484,0.0229212,0.019022,297.737,0.022047,0.00844964
290.404,0.021924,0.00924098,298.486,0.0229518,0.0192133,297.738,0.0220679,0.00853401
290.405,0.0219438,0.00933321,298.488,0.0229824,0.0194036,297.74,0.0220889,0.00861888
290.407,0.0219635,0.00942481,298.49,0.0230132,0.019595,297.742,0.02211,0.00870378
290.408,0.0219831,0.00951643,298.492,0.0230439,0.0197864,297.744,0.022131,0.00878869
290.41,0.0220029,0.00960807,298.494,0.0230746,0.0199769,297.745,0.022152,0.00887315
290.411,0.0220226,0.00969973,298.496,0.0231055,0.0201684,297.747,0.0221731,0.00895811
290.412,0.0220423,0.00979141,298.499,0.0231364,0.0203599,297.749,0.0221942,0.00904309
290.414,0.0220621,0.0098831,298.501,0.0231671,0.0205505,297.751,0.0222152,0.00912761
290.415,0.0220819,0.00997481,298.503,0.0231981,0.0207422,297.752,0.0222364,0.00921263
290.417,0.0221017,0.0100665,298.505,0.0232291,0.0209338,297.754,0.0222574,0.00929719
290.418,0.0221217,0.0101589,298.507,0.02326,0.0211246,297.756,0.0222786,0.00938226
290.419,0.0221415,0.0102507,298.509,0.0232911,0.0213164,297.758,0.0222997,0.00946686
290.421,0.0221614,0.0103425,298.511,0.0233222,0.0215082,297.76,0.0223209,0.00955197
290.422,0.0221813,0.0104343,298.513,0.0233533,0.0217,297.761,0.0223422,0.00963711
290.424,0.0222012,0.0105261,298.515,0.0233843,0.021891,297.763,0.0223633,0.00972178
290.425,0.0222211,0.0106179,298.517,0.0234155,0.0220829,297.765,0.0223846,0.00980695
290.427,0.0222411,0.0107098,298.519,0.0234468,0.0222749,297.767,0.0224059,0.00989215
290.428,0.022261,0.0108017,298.522,0.0234779,0.022466,297.768,0.0224271,0.00997688
290.429,0.022281,0.0108936,298.524,0.0235092,0.0226581,297.77,0.0224484,0.0100621
290.431,0.022301,0.0109855,298.526,0.0235406,0.0228502,297.772,0.0224697,0.0101474
290.432,0.0223211,0.0110774,298.528,0.023572,0.0230424,297.774,0.022491,0.0102322
290.434,0.0223411,0.0111694,298.53,0.0236032,0.0232337,297.775,0.0225124,0.0103175
290.435,0.0223612,0.0112613,298.532,0.0236347,0.023426,297.777,0.0225338,0.0104028
290.437,0.0223813,0.0113533,298.534,0.0236662,0.0236183,297.779,0.0225552,0.0104882
290.438,0.0224014,0.0114453,298.536,0.0236977,0.0238106,297.781,0.0225766,0.0105735
290.439,0.0224217,0.011538,298.538,0.0237291,0.0240021,297.782,0.022598,0.0106584
290.441,0.0224418,0.01163,298.54,0.0237607,0.0241946,297.784,0.0226194,0.0107439
290.442,0.022462,0.0117221,298.543,0.0237922,0.0243861,297.786,0.0226409,0.0108293
290.444,0.0224822,0.0118141,298.545,0.0238239,0.0245787,297.788,0.0226624,0.0109147
290.445,0.0225024,0.0119062,298.547,0.0238555,0.0247704,297.789,0.0226839,0.0109997
290.446,0.0225226,0.0119983,298.549,0.0238872,0.024963,297.791,0.0227054,0.0110852
290.448,0.0225428,0.0120905,298.551,0.0239188,0.0251547,297.793,0.022727,0.0111708
290.449,0.0225631,0.0121826,298.553,0.0239505,0.0253465,297.795,0.0227486,0.0112563
290.451,0.0225833,0.0122748,298.555,0.0239824,0.0255393,297.796,0.0227702,0.0113419
290.452,0.0226036,0.012367,298.557,0.0240141,0.0257312,297.798,0.0227917,0.011427
290.454,0.0226241,0.0124598,298.559,0.024046,0.0259241,297.8,0.0228133,0.0115126
290.455,0.0226444,0.012552,298.561,0.024078,0.026117,297.802,0.022835,0.0115982
290.456,0.0226647,0.0126443,298.564,0.02411,0.0263099,297.803,0.0228566,0.0116839
290.458,0.0226851,0.0127365,298.566,0.0241419,0.026502,297.805,0.0228782,0.0117691
290.459,0.0227056,0.0128294,298.568,0.0241739,0.0266951,297.807,0.0228999,0.0118548
