# DSC deconvolution: T (C), smoothed signal, baseline, components (mW/mg).
T_C_1K,DSC_smoothed_1K,baseline_1K,peak_minus_baseline_1K,FS_fit_1K,T_C_3K,DSC_smoothed_3K,baseline_3K,peak_minus_baseline_3K,FS_fit_3K,T_C_5K,DSC_smoothed_5K,baseline_5K,peak_minus_baseline_5K,FS_fit_5K
285.079,-0.279736,-0.279682,0,-0.279682,282.116,-0.209175,-0.208511,0,-0.208511,286.098,-0.191231,-0.190936,0,-0.190936
285.08,-0.279742,-0.279681,0,-0.279681,282.119,-0.209178,-0.208504,0,-0.208504,286.1,-0.191229,-0.190927,0,-0.190927
285.081,-0.279748,-0.279681,0,-0.279681,282.121,-0.209182,-0.208497,0,-0.208497,286.101,-0.191227,-0.190917,0,-0.190917
285.083,-0.279752,-0.27968,0,-0.27968,282.123,-0.209185,-0.208489,0,-0.208489,286.103,-0.191226,-0.190907,0,-0.190907
285.084,-0.279755,-0.279679,0,-0.279679,282.125,-0.209187,-0.208482,0,-0.208482,286.105,-0.191226,-0.190897,0,-0.190897
285.086,-0.279758,-0.279678,0,-0.279678,282.127,-0.209189,-0.208475,0,-0.208475,286.107,-0.191226,-0.190887,0,-0.190887
285.087,-0.279761,-0.279678,0,-0.279678,282.129,-0.209191,-0.208467,0,-0.208467,286.108,-0.191226,-0.190877,0,-0.190877
285.089,-0.279763,-0.279677,0,-0.279677,282.131,-0.209192,-0.20846,0,-0.20846,286.11,-0.191227,-0.190868,0,-0.190868
285.09,-0.279765,-0.279676,0,-0.279676,282.133,-0.209193,-0.208453,0,-0.208453,286.112,-0.191228,-0.190858,0,-0.190858
285.091,-0.279766,-0.279676,0,-0.279676,282.135,-0.209194,-0.208446,0,-0.208446,286.114,-0.191229,-0.190848,0,-0.190848
285.093,-0.279768,-0.279675,0,-0.279675,282.137,-0.209194,-0.208438,0,-0.208438,286.116,-0.19123,-0.190838,0,-0.190838
285.094,-0.279769,-0.279674,0,-0.279674,282.14,-0.209195,-0.208431,0,-0.208431,286.117,-0.191231,-0.190828,0,-0.190828
285.096,-0.279771,-0.279674,0,-0.279674,282.142,-0.209195,-0.208424,0,-0.208424,286.119,-0.191231,-0.190818,0,-0.190818
285.097,-0.279772,-0.279673,0,-0.279673,282.144,-0.209194,-0.208416,0,-0.208416,286.121,-0.19123,-0.190809,0,-0.190809
285.099,-0.279773,-0.279672,0,-0.279672,282.146,-0.209194,-0.208409,0,-0.208409,286.123,-0.191229,-0.190799,0,-0.190799
