#EXPORTTYPE:DATA ALL
#FILE:Mel+Bar_m=2.56ìã_30-400-20 C_1Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:01
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:19.06.2026 13:01
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:òèãåëü:  m=23,62 ìã  çàïðåññîâàí  äî ýêñïåð. m=42,38 ìã
#SAMPLE:Mel+Bar
#SAMPLE MASS /mg:2.56
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30°C/1,0(K/min)/400°C/30,0(K/min)/20°C/
#SEGMENT:S1-2/2
#SEG. 1:30°C/1,0(K/min)/400°C
#SEG. 2:400°C/30,0(K/min)/20°C

##Temp./°C;Time/min;DSC/(mW/mg);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
180.54392;150.52500;-0.56546;100.00000;150.00000;2.92284;1
180.56889;150.55000;-0.56566;100.00000;150.00000;2.92283;1
180.59386;150.57500;-0.56555;100.00000;150.00000;2.92282;1
180.61883;150.60000;-0.56554;100.00000;150.00000;2.92280;1
180.64379;150.62500;-0.56584;100.00000;150.00000;2.92279;1
180.66875;150.65000;-0.56624;100.00000;150.00000;2.92278;1
180.69368;150.67500;-0.56624;100.00000;150.00000;2.92276;1
180.71862;150.70000;-0.56623;100.00000;150.00000;2.92275;1
180.74357;150.72500;-0.56581;100.00000;150.00000;2.92273;1
180.76852;150.75000;-0.56601;100.00000;150.00000;2.92272;1
180.79346;150.77500;-0.56611;100.00000;150.00000;2.92271;1
180.81841;150.80000;-0.56610;100.00000;150.00000;2.92269;1
180.84336;150.82500;-0.56629;100.00000;150.00000;2.92268;1
180.86831;150.85000;-0.56608;100.00000;150.00000;2.92267;1
180.89326;150.87500;-0.56628;100.00000;150.00000;2.92265;1
180.91821;150.90000;-0.56638;100.00000;150.00000;2.92264;1
180.94319;150.92500;-0.56688;100.00000;150.00000;2.92262;1
180.96815;150.95000;-0.56667;100.00000;150.00000;2.92261;1
180.99311;150.97500;-0.56636;100.00000;150.00000;2.92260;1
181.01807;151.00000;-0.56635;100.00000;150.00000;2.92258;1
181.04304;151.02500;-0.56604;100.00000;150.00000;2.92257;1
181.06802;151.05000;-0.56664;100.00000;150.00000;2.92255;1
181.09301;151.07500;-0.56572;100.00000;150.00000;2.92254;1
181.11800;151.10000;-0.56591;100.00000;150.00000;2.92252;1
181.14299;151.12500;-0.56621;100.00000;150.00000;2.92251;1
181.16797;151.15000;-0.56641;100.00000;150.00000;2.92250;1
181.19296;151.17500;-0.56640;100.00000;150.00000;2.92248;1
181.21794;151.20000;-0.56650;100.00000;150.00000;2.92247;1
181.24293;151.22500;-0.56669;100.00000;150.00000;2.92245;1
181.26791;151.25000;-0.56699;100.00000;150.00000;2.92244;1
181.29290;151.27500;-0.56699;100.00000;150.00000;2.92243;1
181.31787;151.30000;-0.56637;100.00000;150.00000;2.92241;1
181.34286;151.32500;-0.56707;100.00000;150.00000;2.92240;1
181.36787;151.35000;-0.56717;100.00000;150.00000;2.92238;1
181.39287;151.37500;-0.56737;100.00000;150.00000;2.92237;1
181.41786;151.40000;-0.56787;100.00000;150.00000;2.92235;1
181.44288;151.42500;-0.56735;100.00000;150.00000;2.92234;1
181.46789;151.45000;-0.56724;100.00000;150.00000;2.92233;1
181.49293;151.47500;-0.56734;100.00000;150.00000;2.92231;1
181.51796;151.50000;-0.56682;100.00000;150.00000;2.92230;1
181.54300;151.52500;-0.56692;100.00000;150.00000;2.92228;1
181.56805;151.55000;-0.56722;100.00000;150.00000;2.92227;1
181.59309;151.57500;-0.56762;100.00000;150.00000;2.92225;1
181.61812;151.60000;-0.56751;100.00000;150.00000;2.92224;1
181.64314;151.62500;-0.56801;100.00000;150.00000;2.92223;1
181.66817;151.65000;-0.56780;100.00000;150.00000;2.92221;1
181.69319;151.67500;-0.56790;100.00000;150.00000;2.92220;1
181.71820;151.70000;-0.56789;100.00000;150.00000;2.92218;1
181.74320;151.72500;-0.56748;100.00000;150.00000;2.92217;1
181.76819;151.75000;-0.56747;100.00000;150.00000;2.92215;1
181.79319;151.77500;-0.56807;100.00000;150.00000;2.92214;1
181.81818;151.80000;-0.56766;100.00000;150.00000;2.92212;1
181.84315;151.82500;-0.56745;100.00000;150.00000;2.92211;1
181.86812;151.85000;-0.56734;100.00000;150.00000;2.92209;1
181.89308;151.87500;-0.56774;100.00000;150.00000;2.92208;1
181.91804;151.90000;-0.56783;100.00000;150.00000;2.92207;1
181.94299;151.92500;-0.56885;100.00000;150.00000;2.92205;1
181.96796;151.95000;-0.56884;100.00000;150.00000;2.92204;1
181.99292;151.97500;-0.56894;100.00000;150.00000;2.92202;1
182.01789;152.00000;-0.56893;100.00000;150.00000;2.92201;1
182.04287;152.02500;-0.56862;100.00000;150.00000;2.92199;1
182.06784;152.05000;-0.56902;100.00000;150.00000;2.92198;1
182.09282;152.07500;-0.56922;100.00000;150.00000;2.92196;1
182.11780;152.10000;-0.56890;100.00000;150.00000;2.92195;1
182.14279;152.12500;-0.56900;100.00000;150.00000;2.92193;1
182.16777;152.15000;-0.56879;100.00000;150.00000;2.92192;1
182.19276;152.17500;-0.56898;100.00000;150.00000;2.92190;1
182.21777;152.20000;-0.56888;100.00000;150.00000;2.92189;1
182.24279;152.22500;-0.56938;100.00000;150.00000;2.92187;1
182.26781;152.25000;-0.56886;100.00000;150.00000;2.92186;1
182.29284;152.27500;-0.56855;100.00000;150.00000;2.92185;1
182.31788;152.30000;-0.56864;100.00000;150.00000;2.92183;1
182.34291;152.32500;-0.56803;100.00000;150.00000;2.92182;1
182.36795;152.35000;-0.56812;100.00000;150.00000;2.92180;1
182.39300;152.37500;-0.56873;100.00000;150.00000;2.92179;1
182.41804;152.40000;-0.56862;100.00000;150.00000;2.92177;1
182.44308;152.42500;-0.56830;100.00000;150.00000;2.92176;1
182.46812;152.45000;-0.56891;100.00000;150.00000;2.92174;1
182.49316;152.47500;-0.56880;100.00000;150.00000;2.92173;1
182.51821;152.50000;-0.56951;100.00000;150.00000;2.92171;1
182.54325;152.52500;-0.56919;100.00000;150.00000;2.92170;1
182.56830;152.55000;-0.56888;100.00000;150.00000;2.92168;1
182.59334;152.57500;-0.56938;100.00000;150.00000;2.92167;1
182.61838;152.60000;-0.56948;100.00000;150.00000;2.92165;1
182.64342;152.62500;-0.57019;100.00000;150.00000;2.92164;1
182.66848;152.65000;-0.57028;100.00000;150.00000;2.92162;1
182.69354;152.67500;-0.56997;100.00000;150.00000;2.92161;1
182.71859;152.70000;-0.56955;100.00000;150.00000;2.92159;1
182.74363;152.72500;-0.57006;100.00000;150.00000;2.92158;1
182.76869;152.75000;-0.56985;100.00000;150.00000;2.92156;1
182.79373;152.77500;-0.56953;100.00000;150.00000;2.92155;1
182.81879;152.80000;-0.56983;100.00000;150.00000;2.92153;1
182.84384;152.82500;-0.57044;100.00000;150.00000;2.92152;1
182.86888;152.85000;-0.56992;100.00000;150.00000;2.92150;1
182.89392;152.87500;-0.56971;100.00000;150.00000;2.92149;1
182.91896;152.90000;-0.57001;100.00000;150.00000;2.92147;1
182.94400;152.92500;-0.57000;100.00000;150.00000;2.92145;1
182.96904;152.95000;-0.57040;100.00000;150.00000;2.92144;1
182.99408;152.97500;-0.57060;100.00000;150.00000;2.92142;1
183.01914;153.00000;-0.57049;100.00000;150.00000;2.92141;1
183.04420;153.02500;-0.57089;100.00000;150.00000;2.92139;1
183.06926;153.05000;-0.57068;100.00000;150.00000;2.92138;1
183.09430;153.07500;-0.57047;100.00000;150.00000;2.92136;1
183.11935;153.10000;-0.57067;100.00000;150.00000;2.92135;1
183.14441;153.12500;-0.57056;100.00000;150.00000;2.92133;1
183.16946;153.15000;-0.57117;100.00000;150.00000;2.92132;1
183.19451;153.17500;-0.57106;100.00000;150.00000;2.92130;1
183.21956;153.20000;-0.57085;100.00000;150.00000;2.92129;1
183.24459;153.22500;-0.57002;100.00000;150.00000;2.92127;1
183.26961;153.25000;-0.57063;100.00000;150.00000;2.92126;1
183.29462;153.27500;-0.57062;100.00000;150.00000;2.92124;1
183.31964;153.30000;-0.57041;100.00000;150.00000;2.92123;1
183.34465;153.32500;-0.57122;100.00000;150.00000;2.92121;1
183.36965;153.35000;-0.57152;100.00000;150.00000;2.92119;1
183.39465;153.37500;-0.57151;100.00000;150.00000;2.92118;1
183.41964;153.40000;-0.57140;100.00000;150.00000;2.92116;1
183.44462;153.42500;-0.57171;100.00000;150.00000;2.92115;1
183.46959;153.45000;-0.57129;100.00000;150.00000;2.92113;1
183.49455;153.47500;-0.57149;100.00000;150.00000;2.92112;1
183.51950;153.50000;-0.57199;100.00000;150.00000;2.92110;1
183.54443;153.52500;-0.57188;100.00000;150.00000;2.92109;1
183.56937;153.55000;-0.57218;100.00000;150.00000;2.92107;1
183.59430;153.57500;-0.57218;100.00000;150.00000;2.92105;1
183.61923;153.60000;-0.57298;100.00000;150.00000;2.92104;1
183.64415;153.62500;-0.57216;100.00000;150.00000;2.92102;1
