#EXPORTTYPE:DATA SINGLE
#FILE:M-TBA_m=6.03Ï„_30-590-20 C_3Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:02
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:23.04.2025 15:30
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:ÚË„ÂÎ¸:  m=23.78 Ï„  Á‡ÔÂÒÒÓ‚‡Ì
#SAMPLE:M-TBA
#SAMPLE MASS /mg:6.03
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30∞C/3,0(K/min)/590∞C/30,0(K/min)/20∞C/
#SEGMENT:S1/2
#SEG. 1:30∞C/3,0(K/min)/590∞C
#SEG. 2:590∞C/30,0(K/min)/20∞C

##Temp./∞C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
292.71280;87.56105;    -0.18043;2.71945;1
292.71490;87.56174;    -0.18039;2.71944;1
292.71700;87.56244;    -0.18036;2.71943;1
292.71909;87.56314;    -0.18032;2.71943;1
292.72119;87.56384;    -0.18026;2.71942;1
292.72328;87.56454;    -0.18020;2.71941;1
292.72538;87.56524;    -0.18015;2.71941;1
292.72747;87.56594;    -0.18010;2.71940;1
292.72957;87.56664;    -0.18007;2.71940;1
292.73166;87.56733;    -0.18006;2.71939;1
292.73376;87.56803;    -0.18004;2.71938;1
292.73586;87.56873;    -0.18001;2.71938;1
292.73795;87.56943;    -0.17996;2.71937;1
292.74005;87.57013;    -0.17993;2.71936;1
292.74215;87.57083;    -0.17991;2.71936;1
292.74424;87.57153;    -0.17989;2.71935;1
292.74634;87.57223;    -0.17986;2.71935;1
292.74844;87.57292;    -0.17982;2.71934;1
292.75054;87.57362;    -0.17978;2.71933;1
292.75263;87.57432;    -0.17974;2.71933;1
292.75473;87.57502;    -0.17970;2.71932;1
292.75682;87.57572;    -0.17966;2.71931;1
292.75892;87.57642;    -0.17962;2.71931;1
292.76102;87.57712;    -0.17958;2.71930;1
292.76312;87.57782;    -0.17954;2.71930;1
292.76521;87.57851;    -0.17950;2.71929;1
292.76731;87.57921;    -0.17946;2.71928;1
292.76940;87.57991;    -0.17943;2.71928;1
292.77150;87.58061;    -0.17939;2.71927;1
292.77360;87.58131;    -0.17935;2.71926;1
292.77569;87.58201;    -0.17931;2.71926;1
292.77779;87.58271;    -0.17927;2.71925;1
292.77989;87.58341;    -0.17923;2.71925;1
292.78199;87.58410;    -0.17921;2.71924;1
292.78409;87.58480;    -0.17919;2.71923;1
