#EXPORTTYPE:DATA ALL
#FILE:Mel_m=3.89ìã_30-600-20 C_5Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:01
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:17.06.2026 18:01
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:òèãåëü:  m=23,55 ìã  çàïðåññîâàí  äî ýêñïåð. m=46,05 ìã
#SAMPLE:Mel
#SAMPLE MASS /mg:3.89
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30°C/5,0(K/min)/600°C/30,0(K/min)/20°C/
#SEGMENT:S1-2/2
#SEG. 1:30°C/5,0(K/min)/600°C
#SEG. 2:600°C/30,0(K/min)/20°C

##Temp./°C;Time/min;DSC/(mW/mg);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
184.19850; 30.82950;    -0.34905;100.00000;150.00000;2.92067;1
184.24100; 30.83800;    -0.34890;100.00000;150.00000;2.92065;1
184.28352; 30.84650;    -0.34909;100.00000;150.00000;2.92062;1
184.32602; 30.85500;    -0.34922;100.00000;150.00000;2.92059;1
184.36853; 30.86350;    -0.34928;100.00000;150.00000;2.92057;1
184.41105; 30.87200;    -0.34906;100.00000;150.00000;2.92054;1
184.45356; 30.88050;    -0.34878;100.00000;150.00000;2.92051;1
184.49608; 30.88900;    -0.34893;100.00000;150.00000;2.92048;1
184.53858; 30.89750;    -0.34898;100.00000;150.00000;2.92046;1
184.58109; 30.90600;    -0.34912;100.00000;150.00000;2.92043;1
184.62360; 30.91450;    -0.34917;100.00000;150.00000;2.92040;1
184.66613; 30.92300;    -0.34921;100.00000;150.00000;2.92037;1
184.70866; 30.93150;    -0.34935;100.00000;150.00000;2.92035;1
184.75116; 30.94000;    -0.34942;100.00000;150.00000;2.92032;1
184.79369; 30.94850;    -0.34961;100.00000;150.00000;2.92029;1
184.83622; 30.95700;    -0.34954;100.00000;150.00000;2.92026;1
184.87876; 30.96550;    -0.34951;100.00000;150.00000;2.92024;1
184.92127; 30.97400;    -0.34959;100.00000;150.00000;2.92021;1
184.96380; 30.98250;    -0.34961;100.00000;150.00000;2.92018;1
